text,sentiment,category,keyword
국민연금이 투자시 회사의 기술 등에 대해 제대로 분석없이 투자하는 모습이다 다 그런건 아니겠지만 내가 보기엔 그리보인다 비슷한 기술을 보유한 기업에 투자할 때,부정,연금제도,투자분석
퇴직연금 투자 사업에 국민연금 빠르게 참여 시켜라!!!,긍정,퇴직연금,참여촉구
국민연금이 그냥 krx300 사면 되지 않나요. 굳이 코스닥을 콕 찝어서 투자해야할 이유가 있을지...,중립,연금제도,투자전략
"채용 좀 많이 해라.
은행권 해외 근무한 IB 인력도 뽑고, 경험만큼 좋은 경험도 없다.",중립,국민연금 조직,채용
이사장 존나 명쾌하고 스마트하네,긍정,국민연금 조직,이사장칭찬
"국민연금 이사장님 
응원합니다~~!",긍정,국민연금 조직,응원
이사장님 연봉이 어무무시 하겟지?,중립,국민연금 조직,연봉
전국민이 일안하고 주식 한다고 난린데..ㅎㅎ 이게 맞는건지.. 하루에 단타 쳐도 일당번다고 노가다 아저씌도 일 안나간다던데,부정,기타,주식투자
"정치가가 왜 이사장 하고 있냐
니 자리로 가",부정,국민연금 조직,정치개입
"국민연금 국내 인프라 투자 운용해 주세요. 명박이가 맥쿼리 에게 봉사한 국내 인프라 빨대꼿고 50년 이상 대대손손 혈세 빨아먹는 유료 도로,교량,터널..등등 을
국민연금이 국내 인프라 투자해서 그 수익금도 국민연금 기금으로 운용하면 누이좋고 매부 좋은 것.",긍정,연금제도,인프라투자
말은 그럴싸한데 결국 문재인때 사람 다시 고용한것뿐.그닥 신뢰는 가지않는다,부정,국민연금 조직,신뢰부족
"글로벌 최고운용 수익으로 책무를 다해주신점 감사드립니다.더 분발하셔서 국내기업들은 성장발전 시키고,해외에서는 최고수익을 보여주시기를 기대합니다.
반도체와 국민연금의 막강한 자본이 최대의 국가안보라고 판단합니다.임직원들께 깊이 감사드립니다.",긍정,국민연금 조직,감사
"이사장님 오늘 방송에서 처음 뵙는데, 전문성이 느껴지네요 
이사장으로써 앞으로의 3년이 기대가 됩니다 !!",긍정,국민연금 조직,전문성
연금에 대한 이해와 감사한 마음까지 스며듭니다. 국민연금공단 응원할게요,긍정,기타,응원
코스닥? 국민들 피 같은 돈으로 뭐하는 짓이냐?!  코스닥에 장기 투자해서 수익이 날 거라고 생각하나?!,부정,국내주식,코스닥
lg화학 주주들이 고통받고 있습니다.  국민연금이 중점관리기업으로 선정해도 배째라 식으로 나옵니다. 이번 주총에 의결권 행사 강력하게 권유합니다,부정,주주권행사,의결권
19:25분 코스닥,중립,기타,시간
"정동영 때문에 고생많이 하신분
차분하고 믿음이 가는 분",긍정,기타,응원
국민연금 걱정해서 입턴 마우스들 다 어디간그야??? 미래의 내 연금 😎 걱정없구만 감사합니다.,긍정,연금제도,미래
코스닥 사기주식들부터 정리해… 코스피는 반도체 전력 등 실제 eps가 받쳐줬고 글로벌 자금가 탈미국 추세가 맞물리며 지금의 상승이 정당화된거고.. 2차전지 바이오가 중심인 코스닥이 피만큼 간다고? 우량주식 빼다가 지방선거 앞두고 불장난 하겠다는거임,부정,국내주식,사기주식
이상한 기금운영과 한국 자본시장의 만년 저평가의 주범~,부정,국민연금 조직,기금운영
좋은곳에 좋게지어야 하는건 기본이고 무엇보다도 민간 건설사에 혜택 퍼주면서 민간 임대하도록 방치하니까 공공임대주택 개판된거 아님?? 제대로 할거면 그거부터 뜯어고쳐야 한다~! 그리고 연금 코스닥 들어가기전에 종이장사하는 기업이 반이상인데 그거 제대로 청소부터 하자~!!,부정,주택투자,공공임대
"국민연금이 수익을 많이 올리고 있는데, 직원들 성과급은 단연히 주겠지요?  🎉🎉🎉",긍정,국민연금 조직,성과급
출현하신 이사님을 보니 국민연금에 믿음이 더 강해집니다. 감사합니다~~~🎉🎉🎉,긍정,국민연금 조직,신뢰
"벌써 쓸만한 종목들은 엄청 올랐는데, 지속 성장성이 중요한 국민연금이 코스닥에 투자할 수 있을까?",중립,국내주식,투자
삼프로 TV 의 선한 영향력에 감사드려요 ~~~,긍정,기타,감사
"코스닥은 아니다. 완전 사기 기업의 집합소이다. 창투사들의 돈세탁 창구임. K바이오,K로봇은 정말로 거품의 극한 상태임. 영원히 적자에서 못 벗어날 분야임, 여기에 국민연금에 투자한다면 끝장이다.",부정,국내주식,사기기업
"아니 비판할건 비판해야죠.,역사학과 출신 경제 1도 모르면서 수천조 국민 미래책임지는 이사장이 가당키나 합니까?? 안동김씨 세도정치 보는거 같네요..한번 했음 됐지 또 하는건 노욕입니다 정신좀 차리세요",부정,국민연금 조직,비판
