text,sentiment,category,keyword
말은 국민을 위한 노후 자금인데 왜 규정대로 안하고 더 큰 이득을 버렸는지 먼저 해명 해야지.,부정,정부개입·거버넌스,해명 요구
"국민을 개, 돼지로 알지? 룰을 어기고 외국 자본의 먹잇감이 된 댓가를 어떻게 치를지 모르겠다. 
나중에 청문회 나올 준비를 해라! 지금까지 잘 해왔는지 모르겠으나, 이놈의 정부가 문제다!",부정,정부개입·거버넌스,정부 문제
왜 이때까지 안했냐,부정,운용성과,리밸런싱 지연
두배 인버스 치면사 말은 잘하네,부정,기타,일반 잡담
"망해가는 JTBC에서, 국민연금 리벨런싱을 능력 좋아!~, 윈윈인가?~, 매각은 안하고 지인 삼성지분으로 출현할 생각인가?, 드라마 찍으면 그만이고, 어차피, 말 같지도 않는 소리들이잖아!-,",부정,기타,일반 잡담
"진작에 했어야지요
무슨 변명을 이런식으로 ㅎ",부정,운용성과,리밸런싱 지연
"법적인 처벌이 필요해 보이네요,",부정,기타,법적 처벌
전북 출신 국회의원인 공단 이사장이 무슨 정치적 중립이라고 ㅋㅋ 지방선거에 흔들린거지,부정,국민연금 조직,정치적 중립
"주식시장 체질이 약해진 두가지 국민연금  리벨런싱,   삼전닉스 etf  이정부의 가장큰실책 아닐까! 안타깝습니다",부정,운용성과,운용 실책
앞으로 더이상 절때 주가부양 말고 안정성에 기하리,부정,투자전략,안정성
"말길 드럽게 못알아먹네.
좀 잘하능 애들 써서 리밸런싱 실기같은 멍청한 짓은 막으라는 소리를 기관장이나 되서 못알아먹냐.",부정,운용성과,리밸런싱 실기
채권시장도 직격탄 맞고,중립,기타,채권시장
당신 리벨런싱 안하는 바람에  소액주주들  알거지 됬어,부정,운용성과,리밸런싱 지연
200조 벌었는데 왜 매년 국민연금을 올림 ????? 그걸 설명해줘 ~,부정,연금제도,보험료 인상
통치자금 국민연금 ㅋㅋ,부정,기타,통치자금
참나 국민연금 이사장이 친정부 좌파 유투브 채널나와서 할 소리세요? 나라꼬라지 잘돌아가네요 ㅋㅋ,부정,국민연금 조직,조직 신뢰
질높은 영상이네요😊,긍정,기타,영상 소감
잘 했을 때는 보답을 충분히 해라!,긍정,기타,보답
법과 규칙을 어기고 멋대로 하면 사형도 가능할 것이다.,부정,기타,법과 규칙
국민연금은 시장 걱정 하지 말고 법과 규칙에 따라서 기금을 운용해라!,부정,운용성과,기금 운용
항상 법을 따라서 해라!,긍정,기타,법 준수
멋대로 운용하다가 손실 나면 목숨을 내놓아야제!,부정,운용성과,손실
국민연금의 역활은 국민이 맡긴 돈을 지키는 것!,긍정,국민연금 조직,역할
정치꾼이  뭘 안다고!,부정,정부개입·거버넌스,정치적 사용
코메디,중립,기타,일반 잡담
"기관이 그렇게 하면 안되지 정치적 압력 일수도 있지만 진짜 국민을 위한다면 외국인이 팔기 전에 먼저 조졌어야지 ㅋㅋ그 돈은 다 우리 노후 자금임.  지금부터 리벨런싱 조금씩 하면 코스피 못오름. 지난 외국인 리벨런싱 7월 2주전 6월 중순부터 했다. 이제 다음 분기 8월 28일 리벨런싱을 MSCI 분기 8월 12일 편출입 종목 발표 그때부터 할 텐데 , 2주전이니까 우리는 3주 전 부터 외국인 매수 들어올 때 호가 보면서 적절히 던져서 먼저 먹튀 외국인 매도를 조져야함.",부정,운용성과,리밸런싱 지연
"리밸리싱을 위해 국민연금 인상하셨네 ㅋㅋ
걱정말라?14% 되기까지 인상하겠다?
ㅋㅋㅋㅋ",부정,연금제도,보험료 인상
"작년부터 꾸준히 리밸런싱했어야지, 정권 눈치보다 미루다미루다 7월1일부터 40조 판다고 동네방네 다 소문내니까 6월말부터 외인들이 다 팔기시작함ㅋㅋ 결국 연금이랑 개미가 설거지ㅋㅋㅋㅋ",부정,정부개입·거버넌스,정권 눈치
안팔아서 이지경 도박판 만든 주범,부정,운용성과,도박판
원칙을 첨부터 했어야지,부정,운용성과,원칙
