text,sentiment,category,keyword
"✔국민연금에 대한 다양한 정보들, 국민연금TV에서 만나보세요.
👉🏻 https://youtube.com/@NPS_kr

✔내년부터 시행되는 “청년 생애 첫 연금보험료 지원제도” 많은 관심 부탁드려요.


[타임스탬프]

00:00 인트로
00:30 구독자 인사
01:54 1500조 굴리면서 성과급 한푼 못 받는 이유
03:07 국민연금에 대한 시선이 달라진 결정적 이유
04:47 골드만삭스도 궁금해서 찾아오는 수익 비결
07:04 1년간 231조 수익 올린 투자 전략 ‘3가지’
11:29 국민연금이 2100년까지 소진 걱정 없는 3가지 이유
14:34 ‘낸 만큼 못 받는다?’ 2030 불신에 대한 소신 발언
18:37 18년만에 이뤄진 ‘연금 개혁’의 진짜 의미
20:08 ‘노후 보장’ 국민연금의 2단계 개혁 시나리오
22:45 퇴직 연금을 기금으로 묶으면 벌어지는 일
25:21 당겨 받기 vs 제때 받기, 저라면 ‘이때’ 받습니다
29:23 아이돌 탈퇴 소식에 국민연금이 뜬금 마비된 이유
32:45 감옥살이부터 국민연금 이사장이 되기까지

📌이 시대 리더들의 혜안을 들어보는 특별한 시간, [지식인초대석: CEO]! 앞으로도 많은 기대 부탁드립니다",중립,기타,정보
국민연금 직원분들도 이사장님과같은 마인드로 일하신다니 든든합니당. 저런 분들 연봉좀 많이올려주세요,긍정,국민연금 조직,이사장
이건투기아니야? 어이가없네😂😂😂,부정,운용성과,투기
감사합니다,긍정,국민연금 조직,감사
"더 내고 더 받는다고 좋아하면 안되는게... 시간이 지날수록 그만큼 구매력이 떨어지는건 거의 기정 사실인데 이걸 계산하고 말하는 건가 싶음. 
지금 100만원으로 살 수 있는 물건이 내가 은퇴할 쯤엔 500만원 주고도 못 살 수 있는 거임.",부정,세대형평,구매력
"국민연금이 큰 손이라, 주식시장에서도 ""연기금""이라는 이름으로 올라오고 있다는 것. 당연히 주가를 좌지우지 하는 큰 세력중 하나임. 그냥 아몰랑 따라가도 70%는 돈을 벌 수 있다는.. 단지 장투해야 함.",중립,투자전략,연기금
이사장님 멋진 분이시네요✨,긍정,국민연금 조직,이사장
이사장님  오래오래 맡아 주세요 너무 든든합니다 😊,긍정,국민연금 조직,신뢰
정말 참된 지식의 활용입니다,긍정,기타,지식
"저의노후를 책임져주셔서
너무 감사드립니다
그사명감에 존경심
이 들어요~",긍정,국민연금 조직,감사
인세티브 수익액의 1%줘라,긍정,국민연금 조직,요구
공단직원용 펜션 짓지마라  국민돈을 그렇게 쓰면 안된다,부정,국민연금 조직,비판
국민연금이 세력 아닌교?,부정,투자전략,의문
노후자금은 국가연금밖에 없는데 적립금 없이 운영되는 독일에서 삽니다. 너무 부럽습니다ㅜ,중립,연금제도,비교
좋은내용입니다,긍정,기타,칭찬
"직접적 혜택을 못느끼니~
이해가 잘안됀다.
워낙 살기가 어려우니~~",중립,기타,이해
재분배는 왜 하고 지랄임? 평소에 저소득이라고 배급 ㅈㄴ 주더니 연금도  배급해주네 ㅋㅋㅋ,부정,세대형평,비판
국민연금 수익률도 훌륭하고 든든하네요~ 이사장님 말씀도 잘하시네요 대단하십니다,긍정,운용성과,수익률
존경해요~~~,긍정,국민연금 조직,존경
감사합니다 ~,긍정,기타,감사
"1964년생으로 제19대, 제21대 국회의원으로 보건복지위원회에서 활동했고, 2017년 11월부터 2020년 1월까지 제16대 국민연금공단 이사장을 역임했다.",중립,국민연금 조직,이사장
개미털어 먹어서 수익낸게 비결,부정,투자전략,비판
국민연금 고갈 30년 연장 이대통령 최고,긍정,연금제도,고갈
이처럼 훌륭한분께서 국민연금의 수장으로 계신걸 알고나니 국민의 한사람으로써 든든합니다~ 항상 건강하시길 기원하겠습니다!!,긍정,국민연금 조직,응원
"진짜 외계인들이냐고
감사합니다 진심으로",긍정,국민연금 조직,감사
돈 많이 벌면 분리하네 ㅎ,부정,기타,비판
성과급 파티만 안해도 10년은 늘어날듯,부정,국민연금 조직,성과급
정말 유익한 정보 입니다.,긍정,기타,정보
"국민연금은 믿는데요
정부를 못믿겠어요 😂😂",부정,정부개입·거버넌스,불신
"25년 12월 중순인가 취임해서 이제 막 4개월됐으면서 
25년 수익률이 뭐 자기 업적인것마냥 말하는게 좋게 보이진 않네
심지어 김성주씨 민주당쪽이라 취임식에서 국민연금 가지고 청년 공공주택에 투자해서 출산율 올리겠다고 말해서 
 국민연금을 왜 지맘대로 쓰냐고 욕먹어놓고.....",부정,정부개입·거버넌스,비판
"참~
포장도 포장도 이런 포장이 없네!? 
순진한 인간들은 또 속네 그려~ ㅋ",부정,기타,비난
더내고 더받는건 좋은데 덜내신분들이 더받는건 좀 이상하네요,부정,세대형평,형평성
"너네도 영업이익 10% 달라고 해라, 인당 30억이다 ㅋㅋㅋ",중립,국민연금 조직,비난
훌륭한 분이시네요 😊 👍 👍 👍,긍정,국민연금 조직,칭찬
직접 업무를 수행하는 최고의 전문인력과 임시직 자신을 동일시하는 것 우프다,부정,국민연금 조직,비판
16:35 고소득자는 매월 최대 637만원 세금을 내고 있는게 맞음. 저소득층 간접적으로 도와주는 소득 재분배 세금인 건 알겠는데 요즘 같이 모두 어려운 시대엔 솔직히 일할 의지 너무 깎아먹음… 30대 중반은 연금 받을 미래도 멀었는데 한참 벌 시기에 힘이 듭니다..,부정,세대형평,미래세대
"투자배분 잘한건 인정
그런데 코스피 5.000 되지 않았으면
200조 이상 수익이 가능한가? 택도없다",부정,운용성과,수익률
"더 대단하신분 인터뷰도 부탁드려요~ 
항상 잘 보고 있습니다
매일 지식인사이드만 보네요",긍정,국민연금 조직,응원
"나이55세가 되니 
국민연금이 왜 중요한지 현실로 다가옴~
젊으신분들도 금방 50되니 ~",긍정,연금제도,중요성
마지막멘트가 굉장히 와닿네요 감사합니다,긍정,국민연금 조직,감사
"아니 6만원 내고 40년뒤에 9만원 받으라고?? 
Snp에 넣어놓고 연수익률 10퍼만해도 40년 지나면 271만원이다.... 
국민들을 얼마나 우습게 봤으면 6만원 40년 넣고 9만원  받는다는 소리를 할 수가 있나..",부정,연금제도,고갈
이사장님 최고입니다!,긍정,국민연금 조직,응원
"자세한 설명 너무 좋네요
공개강의같은거 하셨음 좋겠어요!",긍정,국민연금 조직,정보 공유
이사장님 감사합니다 .이제 납입하는 위치에서. 수혜자로 넘어가는 세대입니다.  열심히 관리해주셔서. 우리가 혜택을 받게되는군요.   대한민국에 대한 자부심 뿜게됩니다. 리더쉽짱,긍정,국민연금 조직,감사
"아니 고소득층이 더 많이 내면
고소득층이 대한민국에 살까?

지금 현재 노인들은 낸 것 보다 몇백배
더 많이받음.

누가 내고 싶겠음",부정,세대형평,형평성
